년,월,일,요일,주중_주말,관람객수(명),코로나 구분,,전시명,전시시작일,전시종료일,관람객 수(명),가격(원)
2017,3,1,수,평일,16549,Pre-코로나,,Habsburg 600,2022-10-25,2023-03-15,328961,"17,500"
2017,3,2,목,평일,3937,Pre-코로나,,Vienna 1900,2024-11-30,2025-03-03,252547,"18,500"
2017,3,3,금,평일,3469,Pre-코로나,,Stupas,2023-12-22,2024-04-14,64552,"10,000"
2017,3,4,토,주말,14832,Pre-코로나,,Indian,2024-06-18,2024-10-09,41506,"10,000"
2017,3,5,일,주말,11862,Pre-코로나,,,,,,
2017,3,6,월,평일,2493,Pre-코로나,,,,,,
2017,3,7,화,평일,3249,Pre-코로나,,,,,,
2017,3,8,수,평일,3775,Pre-코로나,,,,,,
2017,3,9,목,평일,3291,Pre-코로나,,,,,,
2017,3,10,금,평일,3558,Pre-코로나,,,,,,
2017,3,11,토,주말,16086,Pre-코로나,,,,,,
2017,3,12,일,주말,14379,Pre-코로나,,,,,,
2017,3,13,월,평일,2661,Pre-코로나,,,,,,
2017,3,14,화,평일,3594,Pre-코로나,,,,,,
2017,3,15,수,평일,4707,Pre-코로나,,,,,,
2017,3,16,목,평일,3733,Pre-코로나,,,,,,
2017,3,17,금,평일,3804,Pre-코로나,,,,,,
2017,3,18,토,주말,19072,Pre-코로나,,,,,,
2017,3,19,일,주말,15113,Pre-코로나,,,,,,
2017,3,20,월,평일,3064,Pre-코로나,,,,,,
2017,3,21,화,평일,4076,Pre-코로나,,,,,,
2017,3,22,수,평일,4976,Pre-코로나,,,,,,
2017,3,23,목,평일,4476,Pre-코로나,,,,,,
2017,3,24,금,평일,6309,Pre-코로나,,,,,,
2017,3,25,토,주말,18753,Pre-코로나,,,,,,
2017,3,26,일,주말,16578,Pre-코로나,,,,,,
2017,3,27,월,평일,3604,Pre-코로나,,,,,,
2017,3,28,화,평일,4717,Pre-코로나,,,,,,
2017,3,29,수,평일,12469,Pre-코로나,,,,,,
2017,3,30,목,평일,5870,Pre-코로나,,,,,,
2017,3,31,금,평일,5654,Pre-코로나,,,,,,
2017,4,1,토,주말,17559,Pre-코로나,,,,,,
2017,4,2,일,주말,15101,Pre-코로나,,,,,,
2017,4,3,월,평일,3809,Pre-코로나,,,,,,
2017,4,4,화,평일,6633,Pre-코로나,,,,,,
